,links,dates,header,body,b_points
10,https://seniorsfirstbc.ca/news/covid-19-provincial-support-and-information/,"March 24th, 2020",COVID-19 Provincial Support and Information,"Find all the resources announced by the Province of BC regarding COVID-19 situation, it gives information on how to protect yourself, your family and your community and the steps to take if you suspect to have the virus. COVID-19 Provincial Support and Information",
11,https://seniorsfirstbc.ca/news/11660/,"March 16th, 2020",Seniors First BC Continues to Assist Seniors in These Challenging Times,"July 14, 2020 Seniors First BC release _July 14, 2020 Seniors First BC continues to assist seniors through these challenging times. But in order to ensure the health and safety of our senior clients and our staff and their families, we are adjusting our operations. We will update you regularly as the situation evolves. We will continue to follow the advice of the Canadian and BC Centres for Disease Control. We will get through this challenging time together. ","Our Seniors Abuse and Information Line (SAIL) will continue to operate as normal at 604-437-1940 or 1-866-437-1940. Seniors First BC provides legal services to low-income adults. If you need to consult a lawyer, call us and we will consult with you about legal issues over the phone. Our Lawyers and Legal Advocates will continue to work on files and speak with clients on the phone, but we may limit in-person client meetings. As of today, all of our public education workshops are cancelled until at least June 15th but we continue to provide information about frauds scams and resources available at this time."
12,https://seniorsfirstbc.ca/news/webinar-abuse-older-adults-law-support-older-adults-bc/,"February 5th, 2019",Webinar – Abuse of Older Adults – Law and Support of Older Adults in BC,Featuring: Legal Staff – Seniors First BC Victim Services Worker – Family Services of Greater Vancouver Public Guardian and Trustee of BC Designated Agency – Fraser Health  Watch online ,
13,https://seniorsfirstbc.ca/news/2018-world-elder-abuse-awareness-day/,"June 13th, 2018",2018 World Elder Abuse Awareness Day,June 15 is World Elder Abuse Awareness Day (WEAAD) Over 50 WEAAD events will take place across BC –Find Out More  WEAR PURPLEto show your support! ,
14,https://seniorsfirstbc.ca/news/b-c-seniors-poverty-report-card/,"June 13th, 2018",B.C. Seniors’ Poverty Report Card,"Seniors’ poverty in British Columbia is the highest rate in the country, based on latest data from Statistics Canada (2015).  Read more online –B.C. Seniors’ Poverty Report Card",
15,https://seniorsfirstbc.ca/news/funding-sail-renewed/,"June 11th, 2018",Funding for SAIL renewed," “We are grateful to the provincial government for providing funding to SAIL,” said Sarah Khan, acting executive director and clinic lawyer with Seniors First BC. “Our staff, who answer SAIL, are trained to provide a listening, non-judgmental and supportive ear. SAIL staff will refer callers with legal issues to our legal staff, and will refer victims of abuse or family and sexual violence to our Victim Services Program.”  Read More",
16,https://seniorsfirstbc.ca/news/new-trial-prep-clinic/,"August 21st, 2017",New!  Trial Preparation Clinic,Are you a senior representing yourself in a Small Claims Court proceeding? Call 604-336-5653 to find out more about our Trial Preparation Clinic.,
17,https://seniorsfirstbc.ca/news/civil-resolution-tribunal-hear-small-claims-5000/,"April 3rd, 2017",Civil Resolution Tribunal to hear small claims up to $5000,"The Civil Resolution Tribunal (CRT) will start taking civil claims (up to $5000) on June 1st.  On June 1stas well, the monetary limit for Small Claims Court will be raised up to $35,000 from the present $25,000.  The CRT doesnothave legal authority to deal with: For further clarification, the Small Claims Court doesnothave legal authority to deal with: In addition, the federal government cannot be sued in Provincial Court. Further information on the changes to the Small Claims Court Rules and procedures starting June 1stare available here:http://provincialcourt.bc.ca/enews/enews-20-03-2017 For more information about the CRT see ourCRT information pageand/or theCRT website.","All claims over $5000 up to $35,000 will go to Small Claims Court. Over $35,000 the claims go to BC Supreme Court, unless the claimant is willing to ‘waive the excess’ and fit within the $35,000 limit. All claims of $5,000 or less will go to the Civil Resolution Tribunal (CRT), unless the CRT does not have jurisdiction because of one of the following exceptions: a claim for libel, slander or malicious prosecution a claim for or against the government a claim excluded from the authority of the CRT by regulations (there are no such exclusions now) a constitutional question (any question requiring notice undersection 8of theConstitutional Question Act) a question of whether there is a conflict between theHuman Rights Codeand another law. an interest in land personal property security bankruptcies trademarks wills and estates libel and slander malicious prosecution residential tenancy (though Residential Tenancy Branch orders under theResidential Tenancy Actmay be enforced in Provincial Court), and almost all builders’ lien matters."
18,https://seniorsfirstbc.ca/news/changes-regarding-reporting-sale-principal-residence/,"October 31st, 2016",Changes regarding reporting sale of principal residence,"The following changes may impact older adults who have perhaps inadvertently changed the nature of the ownership of their principal residence.  This could be the result of transfers to family members, adding family members on title (joint ownership), etc.  Some of these changes in the nature of ownership may result in liability for significant capital gains tax when you sell your home, or in other circumstances.  If the following may apply to you, we recommend seeking professional advice from an accountant or tax lawyer. The Department of Finance released a series of measures on October 3, 2016, aimed at “…protecting the financial security of Canadians, supporting the long-term stability of the housing market and improving the integrity and fairness of the tax system, including ensuring the principal residence exemption is available only in appropriate cases.”  While the measure regarding the principal residence exemption is likely aimed at real estate agents and others who are ‘flipping’ properties and wrongly using the principal residence exemption to avoid paying capital gains tax, it will catch others as well.  There could be significant tax consequences for many older adults who may have inadvertently triggered a capital gain, given the amount of equity (or capital gain) in many residences in the lower mainland. Concurrent with the Department of Finance’s announcement, the Canada Revenue Agency (CRA) announced significant changes to its administrative position regarding thereporting of principal residence dispositions. Briefly, the CRA states the following: Starting with the 2016 tax year, individuals who sell their principal residence will have to report the sale on Schedule 3,Capital Gainsof theT1Income Tax and Benefit Return. Reporting will be required for sales that occur on or after January 1, 2016. You will complete Schedule 3 and file it with yourT1 Income Tax and Benefit Returnfor the year you sell the property. If the property was your principal residence for every year that you owned it, you will make the principal residence designation in your Schedule 3. In this case, the year of acquisition, proceeds of disposition and the description of the property are the information that will have to be reported. Schedule 3 will be modified accordingly. Form T2091 (or Form T1255) will still be required for the designation in the case the property was not your principal residence for all of the years that you owned it.",
19,https://seniorsfirstbc.ca/news/legal-issues-in-residential-care-an-advocates-manual/,"September 27th, 2016",E-Book: Legal Issues in Residential Care: An Advocate’s Manual,"Seniors First BC is proud to present our Clicklaw Wikibook,Legal Issues in Residential Care: An Advocate’s Manual,an online guide to legal issues with regard to residential care in British Columbia, and the processes and solutions needed to deal with them. This e-book is primarily meant for legal and health care professionals working to support people in residential care, as well as the Seniors First BC legal team.Click here to access the e-book.",
20,https://seniorsfirstbc.ca/news/bcs-civil-resolution-tribunal-early-intake-strata-disputes/,"September 12th, 2016",BC’s Civil Resolution Tribunal – ‘early intake’ for strata disputes,"BC’s Civil Resolution Tribunal is now accepting strata claims for ‘early intake.’ Since the tribunal is not fully staffed and the online technology is not fully developed, it may take several months to resolve the dispute. They are expecting a high number of initial claims, given the pent up demand of people who could not afford the previous solution of an application to the BC Supreme Court. The Tribunal describes their process as follows: The Tribunal’s website notes the following benefits and limits to this early intake:","It can pause the limitation period.Many strata claims have a 2 year limitation period. The limitation period acts like a countdown clock, and when this time runs out, you may not be able to bring a claim to the CRT or a court. But, if the CRT accepts your dispute into its early intake process, the limitation period will be ‘paused’ and stop counting down. You can find out more about limitation periodshere. You’ll be ready for CRT resolution.As soon as we’re ready to start moving strata disputes into our facilitation phase, you’ll be ready for this next step toward a resolution. Just making your early intake application might help to clarify the issues and encourage an early resolution by agreement among the parties in your dispute. You’ll help shape the CRT process.Our early intake will help us test our online intake processes to make sure they meet your needs. You might get a chance to show us how you think things should work, which will make the CRT better for everyone. The CRT’s full dispute resolution services won’t be available during early intake. You will be able to start your claim, but this is mainly a testing phase for intake. Many disputes will need to wait until the rest of our processes are ready before they are resolved. We expect this to happen in the fall. Our timeline target of 60 to 90 days won’t apply to the early intake testing. Your ability to go to court may be limited.If you apply for strata dispute resolution with the CRT, you and the other parties will be required to continue in the CRT, rather than going to court instead. If you start, and then decide you would rather go to court instead of waiting for the CRT to fully open, you’ll need to ask the CRT’s permission. If this happens, the CRT would probably agree to it during early intake. Not everything will be online.You’ll be able to use the Solution Explorer for strata disputes and you’ll be able to apply to the CRT using our online system. However, other dispute resolution processes will be done through email, video, telephone or mail, while we continue to build the CRT technology."
21,https://seniorsfirstbc.ca/news/new-seniors-legal-clinics/,"July 21st, 2016",New! Seniors’ Legal Clinics,"We now offer legal services for seniors, who cannot otherwise afford assistance, at select locations in New Westminster, Surrey,  Burnaby, North Vancouver and Vancouver once a month. Click herefor more information.  Note: to find out about obtaining legal information or assistance outside of these clinic hours, please phone604-437-1940 or toll-free1-866-437-1940.",
22,https://seniorsfirstbc.ca/news/legal-information-older-women-fleeing-abuse/,"June 23rd, 2016",Legal Information for Older Women Fleeing Abuse,"ROADS TO SAFETYis a new legal handbook for older women in BC that covers legal issues that older women may face when they have experienced violence. It explains rights and options, using stories to illustrate the legal information.  It was developed by West Coast LEAF and the Canadian Centre for Elder Law. It is available on Clicklaw at:Roads to Safety. [Note– this is a 97 page pdf download]",
23,https://seniorsfirstbc.ca/news/elder-abuse-prevention-resources-for-lgbtq/,"June 10th, 2016",Elder Abuse Prevention Resources for the LGBTQ community,"The Gerontology Research Centre of Simon Fraser University has produced resource materials on elder abuse prevention for the LGBTQ community. Find out more information on theSFU – LGBTQ project website. If you have any questions about this project, emaillgbteol@sfu.ca   ",
24,https://seniorsfirstbc.ca/news/2016-world-elder-abuse-awareness-day/,"June 10th, 2016",2016 World Elder Abuse Awareness Day,"World Elder Abuse Awareness Day (WEAAD) is celebrated every year on June 15. This year, on Wednesday, June 15, wear purple to show your support for the occasion. Print, circulate and post theWEAAD Posteron your community bulletin boards.  Read the following announcement from the BC Council to Reduce Elder Abuse: British Columbia’s Council to Reduce Elder Abuse Joins Citizens Around the World in Marking June 15th World Elder Abuse Awareness Day Join BC’s 15-member Council to Reduce Elder Abuse in Wearing Purple on June 15th to promote World Elder Abuse Awareness Day.  Vancouver, British Columbia. June 15th is World Elder Abuse Awareness Day and the 15 members of BC’s Council to Reduce Elder Abuse (CREA) will be wearing something purple to commemorate this day and to shine a light on this important, yet seldom discussed, issue.  “The abuse of older adults – of our grandparents, neighbours, aunts, uncles or older friends – is something people rarely think about, or speak about,” says Martha Jane Lewis, CREA Chair and Executive Director of the BC Centre for Elder Advocacy and Support, “but each year thousands of older British Columbians experience some form of abuse. We receive hundreds of calls every month at the Seniors Abuse and Information Line (1 866 437-1940) from people seeking help,” she says.  Barb MacLean, Executive Director of the Family Caregivers of BC and CREA member agrees. “Some older adults may rely on others to help them with their day-to-day needs, which can lead to situations of abuse. They may be over-medicated, or under-medicated, kept socially isolated, denied access to visitors or friends, or they may be victims of neglect.” Studies show that seniors are most at risk of suffering violence at the hands of a family member or a caregiver.  World Elder Abuse Awareness Day was first observed on June 15th 2006, and since then British Columbia has seen its population of older people steadily increase. Last July, Canada reached a milestone with the number of people aged 65 years and older overtaking the number of children under 15 for the first time in our history; in BC, this milestone occurred in 2011. “As the population ages,” notes Superintendent Mark Fisher, RCMP Officer in Charge and CREA member, “there will be a greater proportion of seniors in our province at risk of elder abuse.”  CREA is protecting seniors by collaborating to strengthen the foundation of existing supports and protection mechanisms. It is raising awareness about this issue and informing British Columbians about the various forms of elder abuse and how to get help.  Last year, CREA provided community capacity building grants of up to $50,000 each to 14 organizations and their partners to undertake actions in BC to reduce elder abuse. These actions include: assessing the impact of elder abuse in the LGBT community; building a strong foundation of awareness and support for the safety of Kwadacha Elders in Northern BC; and developing and delivering a customizable, ‘train-the-trainer’ training module to frontline criminal justice practitioners, victim services workers and community professionals.  “There are different kinds of abuse and neglect,” says Supt. Mark Fisher. Some signs of elder abuse may include: changes in behaviour, depression or agitation (psychological abuse); changes to consumer and banking habits, or to legal documents (financial abuse); bruises or injuries in various stages of healing (physical abuse); inappropriate clothing, being over or under-medicated, or poor personal hygiene (neglect).  “Join CREA Members in wearing purple on June 15th to raise awareness about elder abuse and plan to take action,” urges Sheila Pither, a Council of Senior Citizens’ Organizations (COSCO) representative and CREA member. “One of the ways you can help prevent abuse is to call or visit your parents, and older relatives or friends. We always mean to keep in touch, but time passes and we aren’t there to recognize the signs that an important older person in our life is being abused.”  To find out more, or if someone you know is being abused, call the Seniors Abuse and Information Line (SAIL) 1 866 437-1940, toll free, from anywhere in the province, from 8 am to 8 pm daily, excluding statutory holidays, or in Vancouver: 604 437-1940. SAIL is operated by the BC Centre for Elder Advocacy and Support. For more information, go togov.bc.ca/elderabuse.  If there is imminent danger and you think the situation is an emergency, please call 9-1-1.",
25,https://seniorsfirstbc.ca/news/find-information-you-need-seniors-canada/,"July 31st, 2015",Information From Seniors Canada,"Find information you need on community organizations, retirement residences, medical offices, etc.  Watch the short video from Seniors Canada: Here is the transcript of the video:If you are a senior looking for information on: Visit Canada.ca/Seniors: Active, engaged, informed. Canada.ca/SeniorsCanada","pensions and benefits, tax information, living in retirement, community services and much more,"
